SEQ_NO,ISBN_THIRTEEN_NO,VLM_NM,TITLE_NM,AUTHR_NM,PUBLISHER_NM,PBLICTE_DE,ADTION_SMBL_NM,PRC_VALUE,IMAGE_URL,BOOK_INTRCN_CN,KDC_NM,TITLE_SBST_NM,AUTHR_SBST_NM,TWO_PBLICTE_DE,INTNT_BOOKST_BOOK_EXST_AT,PORTAL_SITE_BOOK_EXST_AT,ISBN_NO
"6352514","9789264313187","","National Accounts of OECD Countries, General Government Accounts 2019 (Paperback)","경제협력개발기구 (지은이)","Org. for Economic Cooperation & Development","","","123980","https://image.aladin.co.kr/product/23417/22/cover/9264313184_2.jpg","With all of her mischiefs nobody noticed... But Princess Jill has an amazing talent!","","nationalaccountsofoecdcountries,generalgovernmentaccounts2019paperback","경제협력개발기구지은이","2020-03-18","Y","Y",""
"6352515","9788900465549","","백점 초등 수학 1-1 (2022년)","동아출판(참고서) 편집부 (지은이)","동아출판","","64710","15000","https://image.aladin.co.kr/product/28126/53/cover/8900465546_1.jpg","과목별 맞춤 학습과 동영상 강의로 더욱 강력해진 백점 시리즈! 문제 풀이 동영상 강의를 무료 제공한다.","","백점초등수학112022년","동아출판참고서편집부지은이","2021-10-10","Y","Y",""
"6352516","9791125336310","","내신 100신 기출 예상 문제집 독해와 작문 (2022년용) - High School English Reading & Writing 능률(양현권 외)","양현권, 백기창, 장은미, 김낙훈, 김형석, 박한나 (지은이)","NE능률(참고서)","","53740","17000","https://image.aladin.co.kr/product/27651/99/cover/k082733936_1.jpg","2015 개정 교육과정 High School English Reading & Writing(양현권) 교과서의 중간.기말고사를 준비하는 학생들을 위한 내신 대비서이다. 내신에 나오는 교과서 어휘, 문법, 본문 핵심 내용을 정리하였다. 실제 내신 출제 경향을 반영한 기출 및 예상 문제를 실었다.","","내신100신기출예상문제집독해와작문2022년용highschoolenglishreadingwriting능률양현권외","양현권,백기창,장은미,김낙훈,김형석,박한나지은이","2021-08-05","Y","Y",""
"6352517","9791191358568","","제주문화에 담긴 날씨 이야기 ","연구기관: 제주기후문화연구소","제주지방기상청 기후서비스과","","93450","","","","","제주문화에담긴날씨이야기","연구기관제주기후문화연구소","","Y","Y",""
"6352518","9791165994457","","서울 항일독립운동 표석 현황 및 신규 표석 사료조사 ","조사편찬: 국민대학교 산학협력단","서울특별시","","93910","","","","","서울항일독립운동표석현황및신규표석사료조사","조사편찬국민대학교산학협력단","","Y","Y",""
"6352519","9791157443000","","(EBS link) 국어 영역 :","집필·검토: 김희중","대성학력개발연구소","","53800","","","","","ebslink국어영역","집필검토김희중","","Y","Y",""
"6352520","9791186184943","","우리나라 수산공학 연구 :","저자: 신영태","국립수산과학원","","93520","","","","","우리나라수산공학연구","저자신영태","","Y","Y",""
"6352521","9789264901513","","Economic Outlook for Southeast Asia, China and India 2021 (Paperback)","OECD (지은이)","Org. for Economic Cooperation & Development","","","60370","https://image.aladin.co.kr/product/26663/20/cover/9264901515_2.jpg","","","economicoutlookforsoutheastasia,chinaandindia2021paperback","oecd지은이","2021-03-01","Y","Y",""
"6352522","9789264612068","","OECD Fiscal Federalism Studies Local Public Finance and Capacity Building in Asia Issues and Challenges (Paperback)","Organisation for Economic Cooperation and Develo (지은이), Junghun Kim (엮은이)","Organization for Economic Co-operation and Develop","","","86250","https://image.aladin.co.kr/product/26856/81/cover/9264612068_2.jpg","","","oecdfiscalfederalismstudieslocalpublicfinanceandcapacitybuildinginasiaissuesandchallengespaperback","organisationforeconomiccooperationanddevelo지은이,junghunkim엮은이","2021-03-08","Y","Y",""
"6352523","9788900464856","","큐브수학 실력 초등 수학 1-1 (2022년) - 실력을 키우는 문제 중심 유형서","동아출판(참고서) 편집부 (지은이)","동아출판","","63410","15000","https://image.aladin.co.kr/product/27970/48/cover/890046485x_1.jpg","유형 정복 실력서. 유형-확인-강화의 3단계로 체계화하여 다양한 문제 유형을 마스터할 수 있다. 과정 중심 평가에서 중요한 서술형에 대비할 수 있도록 연습-단계-실전의 3단계 서술형 학습으로 구성하여 답안 쓰기 훈련을 완벽하게 할 수 있다.","","큐브수학실력초등수학112022년실력을키우는문제중심유형서","동아출판참고서편집부지은이","2021-09-20","Y","Y",""
